@relation Credit_Approval-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute 1 {a,b}
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 {l,u,y}
@attribute 5 {g,gg,p}
@attribute 6 {aa,c,cc,d,e,ff,i,j,k,m,q,r,w,x}
@attribute 7 {bb,dd,ff,h,j,n,o,v,z}
@attribute 8 numeric
@attribute 9 {f,t}
@attribute 10 {f,t}
@attribute 11 numeric
@attribute 12 {f,t}
@attribute 13 {g,p,s}
@attribute 14 numeric
@attribute 15 numeric
@attribute class {+,-}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
b,30.83,0,u,g,w,v,1.25,t,t,1,f,g,202,0,+,no,no
a,58.67,4.46,u,g,q,h,3.04,t,t,6,f,g,43,560,+,no,no
a,24.5,0.5,u,g,q,h,1.5,t,f,0,f,g,280,824,+,no,no
b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100,3,+,no,no
b,20.17,5625,u,g,w,v,1.71,t,f,0,f,s,120,0,+,no,yes
b,32.08,4,u,g,m,v,2.5,t,f,0,t,g,360,0,+,no,no
b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164,31285,+,no,yes
a,22.92,11585,u,g,cc,v,0.04,t,f,0,f,g,80,1349,+,no,yes
b,54.42,0.5,y,p,k,h,3.96,t,f,0,f,g,180,314,+,no,no
b,42.5,4915,y,p,w,v,3165,t,f,0,t,g,52,1442,+,no,yes
b,22.08,0.83,u,g,c,h,2165,f,f,0,t,g,128,0,+,no,yes
b,29.92,1835,u,g,c,h,4335,t,f,0,f,g,260,200,+,no,yes
a,38.25,6,u,g,k,v,1,t,f,0,t,g,0,0,+,no,no
b,48.08,6.04,u,g,k,v,0.04,f,f,0,f,g,0,2690,+,yes,no
a,45.83,10.5,u,g,q,v,5,t,t,7,t,g,0,0,+,no,no
b,36.67,4415,y,p,k,v,0.25,t,t,10,t,g,320,0,+,no,yes
b,28.25,875,u,g,m,v,0.96,t,t,3,t,g,396,0,+,yes,no
a,23.25,5875,u,g,q,v,3.17,t,t,10,f,g,120,245,+,no,yes
b,21.83,0.25,u,g,d,h,665,t,f,0,t,g,0,0,+,no,yes
a,19.17,8585,u,g,cc,h,0.75,t,t,7,f,g,96,0,+,no,yes
b,25,11.25,u,g,c,v,2.5,t,t,17,f,g,200,1208,+,yes,no
b,23.25,1,u,g,c,v,835,t,f,0,f,s,300,0,+,no,yes
a,47.75,8,u,g,c,v,7875,t,t,6,t,g,0,1260,+,no,yes
a,27.42,14.5,u,g,x,h,3085,t,t,1,f,g,120,11,+,no,yes
a,41.17,6.5,u,g,q,v,0.5,t,t,3,t,g,145,0,+,no,no
a,15.83,585,u,g,c,h,1.5,t,t,2,f,g,100,0,+,no,no
a,47,13,u,g,i,bb,5165,t,t,9,t,g,0,0,+,no,yes
b,56.58,18.5,u,g,d,bb,15,t,t,17,t,g,0,0,+,yes,no
b,57.42,8.5,u,g,e,h,7,t,t,3,f,g,0,0,+,no,no
b,42.08,1.04,u,g,w,v,5,t,t,6,t,g,500,10000,+,no,yes
b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168,0,+,no,no
b,42,9.79,u,g,x,h,7.96,t,t,8,f,g,0,0,+,no,no
b,49.5,7585,u,g,i,bb,7585,t,t,15,t,g,0,5000,+,yes,yes
a,36.75,5125,u,g,e,v,5,t,f,0,t,g,0,4000,+,no,yes
a,22.58,10.75,u,g,q,v,415,t,t,5,t,g,0,560,+,yes,no
b,27.83,1.5,u,g,w,v,2,t,t,11,t,g,434,35,+,no,no
b,27.25,1585,u,g,cc,h,1835,t,t,12,t,g,583,713,+,no,yes
a,23,11.75,u,g,x,h,0.5,t,t,2,t,g,300,551,+,no,no
b,27.75,585,y,p,cc,v,0.25,t,t,2,f,g,260,500,+,no,no
b,54.58,9415,u,g,ff,ff,14415,t,t,11,t,g,30,300,+,no,yes
b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,0,221,+,no,no
b,28.92,15,u,g,c,h,5335,t,t,11,f,g,0,2283,+,yes,yes
b,29.67,1415,u,g,w,h,0.75,t,t,1,f,g,240,100,+,no,yes
b,39.58,13915,u,g,w,v,8625,t,t,6,t,g,70,0,+,no,yes
b,56.42,28,y,p,c,v,28.5,t,t,40,f,g,0,15,+,no,yes
b,54.33,6.75,u,g,c,h,2625,t,t,11,t,g,0,284,+,no,yes
a,41,2.04,y,p,q,h,125,t,t,23,t,g,455,1236,+,no,yes
b,31.92,4.46,u,g,cc,h,6.04,t,t,3,f,g,311,300,+,no,no
b,41.5,1.54,u,g,i,bb,3.5,f,f,0,f,g,216,0,+,no,no
b,23.92,665,u,g,c,v,165,f,f,0,f,g,100,0,+,yes,no
a,25.75,0.5,u,g,c,h,875,t,f,0,t,g,491,0,+,no,yes
b,26,1,u,g,q,v,1.75,t,f,0,t,g,280,0,+,no,no
b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,400,5800,+,no,yes
b,34.92,2.5,u,g,w,v,0,t,f,0,t,g,239,200,+,no,no
b,34.25,3,u,g,cc,h,7415,t,f,0,t,g,0,0,+,no,yes
b,23.33,11625,y,p,w,v,835,t,f,0,t,g,160,300,+,no,yes
b,23.17,0,u,g,cc,v,85,t,f,0,f,g,0,0,+,no,no
b,44.33,0.5,u,g,i,h,5,t,f,0,t,g,320,0,+,no,no
b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711,0,+,no,no
b,43.25,3,u,g,q,h,6,t,t,11,f,g,80,0,+,no,no
b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,200,0,+,no,no
b,31.67,16165,u,g,d,v,3,t,t,9,f,g,250,730,+,no,yes
a,23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,80,400,+,no,no
a,20.42,835,u,g,q,v,1585,t,t,1,f,g,0,0,+,yes,yes
b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120,0,+,no,no
b,34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,520,50000,+,no,yes
a,36,1,u,g,c,v,2,t,t,11,f,g,0,456,+,no,no
b,25.5,375,u,g,m,v,0.25,t,t,3,f,g,260,15108,+,no,yes
b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80,2954,+,no,yes
b,35.17,25125,u,g,x,h,1625,t,t,1,t,g,515,500,+,no,yes
